LaptopID,Brand,RamSize,StorageType,StorageCapacity
v1|126987854230|0,Acer,4GB,SSD,115GB
v1|355510407161|0,Acer,Unknown,Unknown,120GB
v1|256195038210|0,Acer,Unknown,Unknown,128GB
v1|276237750527|0,Acer,8GB,SSD,128GB
v1|126820827843|0,Acer,Unknown,SSD,128GB
v1|296954848313|0,Acer,8GB,SSD,128GB
v1|388197348782|0,Acer,4GB,Unknown,128GB
v1|275200944430|0,Acer,8GB,Unknown,128GB
v1|285673075126|0,Acer,4GB,Unknown,128GB
v1|234812953834|0,Acer,4GB,SSD,128GB
v1|394729455747|0,Acer,4GB,SSD,160GB
v1|205272745527|0,Acer,2GB,Unknown,160GB
v1|167368175604|0,Acer,4GB,Unknown,16GB
v1|284266747244|0,Acer,4GB,SSD,16GB
v1|167368178552|0,Acer,4GB,Unknown,16GB
v1|315789709163|0,Acer,4GB,SSD,16GB
v1|176970022425|0,Acer,8GB,SSD,180GB
v1|266889342994|0,Acer,Unknown,Unknown,1TB
v1|276742020008|0,Acer,16GB,Unknown,1TB
v1|266889342832|0,Acer,16GB,Unknown,1TB
v1|276012509033|0,Acer,16GB,SSD,1TB
v1|267054779959|0,Acer,16GB,Unknown,1TB
v1|276029097220|0,Acer,16GB,Unknown,1TB
v1|266562712648|0,Acer,16GB,Unknown,1TB
v1|256724268332|0,Acer,16GB,Unknown,1TB
v1|256704364915|0,Acer,16GB,Unknown,1TB
v1|267099961819|0,Acer,Unknown,Unknown,1TB
v1|276710597606|0,Acer,16GB,Unknown,1TB
v1|335892682110|0,Acer,8GB,HDD,1TB
v1|116382506464|0,Acer,32GB,SSD,1TB
v1|267209337671|0,Acer,16GB,SSD,1TB
v1|396393436828|0,Acer,32GB,SSD,1TB
v1|325494325330|0,Acer,16GB,Unknown,1TB
v1|156854123137|0,Acer,Unknown,Unknown,1TB
v1|396398110312|0,Acer,4GB,HDD,250GB
v1|265578861440|0,Acer,2GB,Unknown,250GB
v1|265314999153|0,Acer,2GB,Unknown,250GB
