SellerID,FeedbackScore
guangdongcleamol,0
the_thingamajigs_store,0
anaseld0,0
thepdxseller,0
salesexpress2,0
lia_9580,0
ja643694,0
josolisg0,0
blivenowsystems,0
ai4466,0
agui7874,0
brada3827,0
snkrbe_7,0
thrillsnthrifts,0
web_1682,0
pokeroom007,0
labreshminnifiel0,0
mar-110846,0
arch_jp,0
alv-9540,0
laug-1861,0
ctrlaltrepairllc,0
cu_7406,0
infinityfinds210,0
jayrrow,0
isa_3343,0
justinsthrift,0
jef8223,0
bl_427467,0
tikbus0,0
holdarealbook,0
micbow_6524,0
valsan-7262,0
kuehnbria,0
nicole798,0
bitofeverything03,0
to_8285,0
ans9361,0
jo554869,0
thisistheway7,0
ja_692912,0
bidnest-llc,0
waltland2015,0
chrisbuh-0,0
jeancbim-0,0
ali_944632,0
f43a97,0
8yptn_29,0
lufals89,0
jmarsh-3,0
patters_3956,0
more4wayless,0
chousou0,0
ilovew_89,0
mar_422777,0
ninjabmw0514,0
maximfra_96,0
krymello-0,0
elizmcs0,0
tiffyp9,0
darlingbean,0
akaaya,0
javir_8808,0
misterfi-78,0
sweetapho60,0
tomran-5919,0
infohead47,0
adandjosie1713,0
jjsoc-56,0
rob826609,0
ernmu8315,0
n.su44,0
salam.773,0
tabre-1352,0
7qzh8-5,0
conda_5292,0
jaset_65,0
korbin67,0
7829myem-81,0
adk4341,0
lessan79,0
deemarshin,0
savabri0,0
tomariw_0,0
crysbut_7,0
parchea57,0
jogr_513495,0
gnc8559,0
rochelle2310,0
twenty484,0
halet_37,0
jenk_4084,0
cheeses-95,0
ri_307996,0
kyus06,0
jking0515,0
peanutbutter127,0
maylasiferguso-0,0
themastermind777,0
comars_6405,0
4tune-64,0
3dpatriot,0
yuekus2013,0
mirud_67,0
tatso-48,0
mgriff85,0
par5646,0
cincyseller513_4,0
easy-deal2009,0
betsabalvare-0,0
lakathom_0,0
johyje-0,0
kecar4348,0
jadr9487,0
chari6963,0
aubda-22,0
ana-6821,0
i_am_m25,0
multi_solutions,0
mos1376,0
schneidinlain-0,0
dimth_80,0
capriachantel21,0
lexk71,0
morhay_8959,0
audco-3083,0
drseusscat,0
baimil1558,0
alexabe-90,0
ce569054,0
av-8785,0
iwanttobu-36,0
wendjohnso-83,0
aniyahd,0
jaymald4741,0
z5cq968,0
brawill_5091,0
jennie.54,0
cbrook29,0
eli-1968,0
jerryspe,0
andcab_95,0
trendunio,0
nsjyg_84,0
aipr-2100,0
alexama955,0
onlyfo_75,0
komaks_bg,0
mahhen78,0
meghamathew0,0
gispi359953,0
dygras_0,0
dadus2678,0
myl_180764,0
matthewbray-laptop,0
caho405,0
cam_8259,0
wilde-3009,0
zeetec_store,0
bigcliffyd,0
cesam_75,0
nihe3831,0
narn5807,0
flame3814,0
sonna96,0
micyauh-0,0
askand94,0
dikhambh-0,0
rako1946,0
boomerose0,0
kamri_55,0
gabschn59,0
elikaz84,0
agon6086,0
kowua-hc,0
abbe_9462,0
vrbeautyandsupplies,0
susyju18,0
ca_tlover7,0
joshduncan71486,0
sab_3036,0
sava_7149,0
haica-78,0
aigar2129,0
leilanperrone-skinne0,0
seqcur0,0
hecnu-6808,0
haihuffm0,0
robeisgarci-0,0
randrie0,0
ewelec-42,0
to0610,0
nikbasa0,0
99pjw_5,0
cyn_nzan,0
albecks-68,0
chhub-83,0
aegorov67,0
sm_594651,0
earbudsmaster,0
jaffarsk,0
brmitc4650,0
caltho-2318,0
muhammed992,0
nunezcastillo,0
abngue-0,0
jul_428935,0
1969gtoj-86,0
be_123596,0
novacubs,0
sgunkysgunky,0
marsan4311,0
smkrtc-59,0
kasc456780,0
victorigonzale25,0
ecal-do-w2vzkq,0
danhern-502,0
d26gf_60,0
sammysammy123123,0
toinfi_41,0
ka441042,0
silverfusion,0
sa_541411,0
2bbpv65,0
djyoun_52,0
jeh1g0,0
odaswi_0,0
dehern_2286,0
fredys2390benitez,0
grno1404,0
s629-36,0
jag_4177,0
grove_store07,0
penn_25,0
chriboyi_8,0
genevie_25,0
san-190415,0
tapr1353,0
courtnemountfor_0,0
lemor13,0
samashu0,0
joriv-1450,0
samawa-189,0
al-8497,0
drewladner,0
chelawr60,0
urbein26,0
c1ndy_99,0
dinavia_97,0
so_903611,0
qiwa8871,0
z6vmr0,0
sopbel12,0
nosua12,0
carolier,0
brymur_86,0
parago-61,0
electricgin_llc,0
carab.jeane,0
xersan0,0
wzstore,33.3
maythom_86,50
fairtradeheart,66.7
mhdtrade_6,66.7
chava.gilby,66.7
nhoshishi,75
chapoth_43,75
db_003,75
turninthepage,75
amsaw88,80
theglowgallery,80
onlinestore4,83.2
usedlaptopcenter-9,83.3
jome1238,83.3
sably-85,83.3
quickdealzinc,83.3
ycpromotions,83.3
rhys.kir_55,83.3
anzarenterprisesinc-0,85
deedijune97,85.7
alvash-94,85.7
thetrendyseller1,86
escorp-88,87.5
poeent,88.9
witch_direction25,89.5
anthonyswholesales,89.5
grey-hat-seo,89.5
lukecallo-0,90
dacho_8344,90
