Brand,Seller_ID,Avg_Price,Min_Price,Max_Price,Total_Listings,Price_Tendency
HP,guangdongcleamol,199.99,199.99,199.99,1,Stable Price
Intel,guangdongcleamol,199.0,199.0,199.0,1,Stable Price
Intel,the_thingamajigs_store,264.94,264.94,264.94,1,Stable Price
Lenovo,anaseld0,499.0,499.0,499.0,1,Stable Price
Intel,thepdxseller,175.0,175.0,175.0,1,Stable Price
Asus,lia_9580,175.0,175.0,175.0,1,Stable Price
MSI,josolisg0,650.0,650.0,650.0,1,Stable Price
Intel,blivenowsystems,203.99,203.99,203.99,1,Stable Price
Asus,ai4466,640.0,640.0,640.0,1,Stable Price
HP,snkrbe_7,325.0,325.0,325.0,1,Stable Price
HP,pokeroom007,400.0,400.0,400.0,1,Stable Price
HP,labreshminnifiel0,120.0,120.0,120.0,1,Stable Price
Intel,arch_jp,113.0,113.0,113.0,1,Stable Price
HP,alv-9540,549.99,549.99,549.99,1,Stable Price
Intel,cu_7406,297.63,189.0,365.0,3,Price Spike
Asus,infinityfinds210,134.99,134.99,134.99,1,Stable Price
HP,justinsthrift,450.0,450.0,450.0,1,Stable Price
Intel,bl_427467,160.0,160.0,160.0,1,Stable Price
HP,tikbus0,300.0,300.0,300.0,1,Stable Price
HP,micbow_6524,125.0,125.0,125.0,1,Stable Price
Intel,kuehnbria,275.0,275.0,275.0,1,Stable Price
Intel,bidnest-llc,350.0,350.0,350.0,1,Stable Price
Intel,waltland2015,242.47,229.95,250.0,4,Stable Price
HP,jeancbim-0,170.0,170.0,170.0,1,Stable Price
HP,chousou0,100.0,100.0,100.0,1,Stable Price
HP,ilovew_89,150.0,150.0,150.0,1,Stable Price
HP,ninjabmw0514,250.0,250.0,250.0,1,Stable Price
HP,krymello-0,100.0,100.0,100.0,1,Stable Price
Intel,misterfi-78,250.0,250.0,250.0,1,Stable Price
Lenovo,sweetapho60,200.0,200.0,200.0,1,Stable Price
HP,tomran-5919,120.0,120.0,120.0,1,Stable Price
HP,adandjosie1713,200.0,200.0,200.0,1,Stable Price
HP,jjsoc-56,269.99,269.99,269.99,1,Stable Price
Samsung,ernmu8315,100.0,100.0,100.0,1,Stable Price
Dell,n.su44,539.99,539.99,539.99,1,Stable Price
HP,tabre-1352,275.0,275.0,275.0,1,Stable Price
HP,7qzh8-5,550.0,550.0,550.0,1,Stable Price
Lenovo,7829myem-81,100.0,100.0,100.0,1,Stable Price
Acer,adk4341,250.0,250.0,250.0,1,Stable Price
HP,lessan79,134.0,129.0,139.0,2,Stable Price
Samsung,crysbut_7,100.0,100.0,100.0,1,Stable Price
Dell,parchea57,200.0,200.0,200.0,1,Stable Price
Asus,twenty484,200.0,200.0,200.0,1,Stable Price
Lenovo,halet_37,100.0,100.0,100.0,1,Stable Price
HP,jenk_4084,275.0,275.0,275.0,1,Stable Price
Asus,cheeses-95,300.0,300.0,300.0,1,Stable Price
Intel,jking0515,131.0,131.0,131.0,1,Stable Price
Intel,peanutbutter127,280.0,280.0,280.0,1,Stable Price
HP,comars_6405,269.0,269.0,269.0,1,Stable Price
HP,3dpatriot,100.0,100.0,100.0,1,Stable Price
Lenovo,yuekus2013,400.0,400.0,400.0,1,Stable Price
HP,tatso-48,100.0,100.0,100.0,1,Stable Price
Lenovo,mgriff85,350.0,350.0,350.0,1,Stable Price
HP,easy-deal2009,345.28,345.28,345.28,1,Stable Price
Asus,betsabalvare-0,350.0,350.0,350.0,1,Stable Price
HP,kecar4348,225.99,225.99,225.99,1,Stable Price
HP,jadr9487,130.0,130.0,130.0,1,Stable Price
Lenovo,i_am_m25,300.0,300.0,300.0,1,Stable Price
Dell,multi_solutions,157.99,157.99,157.99,1,Stable Price
HP,dimth_80,399.0,399.0,399.0,1,Stable Price
HP,lexk71,250.0,250.0,250.0,1,Stable Price
HP,audco-3083,100.0,100.0,100.0,1,Stable Price
HP,drseusscat,200.0,200.0,200.0,1,Stable Price
HP,baimil1558,375.0,375.0,375.0,1,Stable Price
HP,wendjohnso-83,350.0,350.0,350.0,1,Stable Price
HP,jaymald4741,200.0,200.0,200.0,1,Stable Price
