Seller_ID,Total_Listings,Avg_Price,Feedback_Score,Seller_Tier
*kool-trader,1,1899.98,100.0,New Seller
1899mart,1,349.99,98.5,New Seller
1969gtoj-86,1,200.0,0.0,New Seller
4.-q,1,269.98,100.0,New Seller
abaa-it,2,174.5,100.0,New Seller
acemagic-direct,1,499.0,100.0,New Seller
adk4341,1,250.0,0.0,New Seller
afeelbafe,1,241.74,100.0,New Seller
afooshani9497,2,774.99,99.5,New Seller
aigar2129,1,360.0,0.0,New Seller
ajtechnologyca,2,398.21,100.0,New Seller
alanwithtech,1,289.0,100.0,New Seller
alexpa_2025,1,221.25,99.7,New Seller
ali_944632,1,1800.0,0.0,New Seller
alicexu19861024,1,675.0,97.8,New Seller
all4homeusa,1,674.99,98.9,New Seller
allstore-up,17,442.54,97.3,Rising Seller
alv-9540,1,549.99,0.0,New Seller
anaseld0,1,499.0,0.0,New Seller
antonline,21,1065.66,99.2,Rising Seller
apc_sales,3,854.73,95.5,New Seller
auction2272,1,1049.99,97.3,New Seller
awesome.bargains,1,143.0,97.1,New Seller
baimil1558,1,375.0,0.0,New Seller
basiccomputer,1,410.0,95.7,New Seller
beachaudio,3,741.58,98.8,New Seller
bears-tech-deals,1,725.0,100.0,New Seller
bellatoscana2011,1,1699.99,100.0,New Seller
beny2011,1,196.0,98.9,New Seller
best_buy,24,867.78,95.7,Rising Seller
bestptv,3,312.99,98.6,New Seller
besttechdealstogo,1,799.99,100.0,New Seller
betsabalvare-0,1,350.0,0.0,New Seller
big2004spender,1,429.99,100.0,New Seller
bigboxoverstockllc,1,959.95,97.6,New Seller
bigtimecloseouts,2,117.99,98.9,New Seller
bit-by-bit-electronics,22,1644.95,99.6,Rising Seller
blivenowsystems,1,203.99,0.0,New Seller
blowoutsales,1,868.0,100.0,New Seller
bluegr_5309,1,559.0,100.0,New Seller
boms2014,1,851.49,94.0,New Seller
brandsmartusa,1,247.77,98.7,New Seller
brownpilot1,1,19.95,100.0,New Seller
buy-from-here,1,549.99,99.2,New Seller
buy_computer_direct_inc,5,767.0,99.4,New Seller
buydig,1,404.79,98.9,New Seller
byte-techdirect,4,1749.89,100.0,New Seller
c1ndy_99,1,275.0,0.0,New Seller
cargolargo,3,288.32,99.1,New Seller
carxchange,1,899.99,100.0,New Seller
cgelectronics16,1,399.0,99.8,New Seller
chelseallc,1,500.0,100.0,New Seller
chouz_ecomm,1,899.99,99.4,New Seller
